strain,Mash_cluster,Source
GCA_015277975.1_ASM1527797v1_genomic.fasta,1475,Animal
GCA_017357925.1_ASM1735792v1_genomic.fasta,5681,Human
GCA_040982415.1_ASM4098241v1_genomic.fasta,5640,Animal
GCA_024517285.1_ASM2451728v1_genomic.fasta,3219,Animal
GCA_030363645.1_ASM3036364v1_genomic.fasta,4675,Human
GCA_014041005.1_ASM1404100v1_genomic.fasta,2130,Environment
GCA_014283245.1_ASM1428324v1_genomic.fasta,2022,Human
GCA_029523835.1_ASM2952383v1_genomic.fasta,2842,Human
GCA_026623885.1_ASM2662388v1_genomic.fasta,540,Human
GCA_021213905.1_ASM2121390v1_genomic.fasta,3712,Human
GCA_028681995.1_ASM2868199v1_genomic.fasta,3064,Animal
GCA_039681835.1_ASM3968183v1_genomic.fasta,2315,Animal
GCA_030441605.1_ASM3044160v1_genomic.fasta,77,Environment
GCA_003664895.1_ASM366489v1_genomic.fasta,3211,Food
GCA_039042735.1_ASM3904273v1_genomic.fasta,2855,Human
GCA_033121205.1_PDT001958582.1_genomic.fasta,4798,Human
GCA_028581035.1_ASM2858103v1_genomic.fasta,4934,Human
GCA_021727595.1_ASM2172759v1_genomic.fasta,4499,Human
GCA_019402045.1_ASM1940204v1_genomic.fasta,3183,Animal
GCA_022855745.1_ASM2285574v1_genomic.fasta,4010,Human
GCA_011045775.1_ASM1104577v1_genomic.fasta,3628,Animal
GCA_029541825.1_ASM2954182v1_genomic.fasta,742,Food
GCA_014284855.1_ASM1428485v1_genomic.fasta,3050,Human
GCA_004127705.1_ASM412770v1_genomic.fasta,5479,Animal
GCA_030442855.1_ASM3044285v1_genomic.fasta,431,Environment
GCA_024734195.1_ASM2473419v1_genomic.fasta,425,Environment
GCA_030443395.1_ASM3044339v1_genomic.fasta,4211,Environment
GCA_039573875.1_ASM3957387v1_genomic.fasta,674,Human
GCA_024517345.1_ASM2451734v1_genomic.fasta,5667,Animal
GCA_034743255.1_ASM3474325v1_genomic.fasta,4,Environment
GCA_034738095.1_ASM3473809v1_genomic.fasta,3577,Human
GCA_038098595.1_ASM3809859v1_genomic.fasta,258,Environment
GCA_035831055.1_ASM3583105v1_genomic.fasta,3045,Animal
GCA_034364545.1_ASM3436454v1_genomic.fasta,4317,Human
GCA_000263095.1_Klebphe1.0_genomic.fasta,5828,Environment
GCA_040691965.1_ASM4069196v1_genomic.fasta,34,Human
GCA_020482335.1_ASM2048233v1_genomic.fasta,4341,Human
GCA_040990365.1_ASM4099036v1_genomic.fasta,4259,Human
GCA_021395845.1_ASM2139584v1_genomic.fasta,2282,Animal
GCA_040981925.1_ASM4098192v1_genomic.fasta,3623,Animal
GCA_023742715.1_ASM2374271v1_genomic.fasta,603,Human
GCA_039573405.1_ASM3957340v1_genomic.fasta,2764,Human
GCA_034741955.1_ASM3474195v1_genomic.fasta,655,Environment
GCA_034724175.1_ASM3472417v1_genomic.fasta,5645,Human
GCA_025892855.1_PDT001469202.1_genomic.fasta,1535,Human
GCA_022997885.1_PDT001287248.1_genomic.fasta,2622,Animal
GCA_033434015.1_ASM3343401v1_genomic.fasta,5730,Human
GCA_024516685.1_ASM2451668v1_genomic.fasta,5626,Animal
GCA_029541765.1_ASM2954176v1_genomic.fasta,2101,Food
GCA_034741115.1_ASM3474111v1_genomic.fasta,1414,Human
GCA_022559785.1_ASM2255978v1_genomic.fasta,3642,Animal
GCA_041038775.1_ASM4103877v1_genomic.fasta,3140,Human
GCA_024516865.1_ASM2451686v1_genomic.fasta,1030,Animal
GCA_021395395.1_ASM2139539v1_genomic.fasta,2309,Animal
GCA_030443915.1_ASM3044391v1_genomic.fasta,4212,Environment
GCA_029916235.1_ASM2991623v1_genomic.fasta,4067,Human
GCA_024516565.1_ASM2451656v1_genomic.fasta,5284,Animal
GCA_024516985.1_ASM2451698v1_genomic.fasta,5664,Animal
GCA_003432405.1_ASM343240v1_genomic.fasta,2495,Animal
GCA_024517765.1_ASM2451776v1_genomic.fasta,55,Animal
GCA_028681795.1_ASM2868179v1_genomic.fasta,1166,Animal
GCA_030443455.1_ASM3044345v1_genomic.fasta,5617,Environment
GCA_024356765.1_ASM2435676v1_genomic.fasta,712,Human
GCA_021395735.1_ASM2139573v1_genomic.fasta,1459,Animal
GCA_030194065.1_ASM3019406v1_genomic.fasta,3097,Animal
GCA_040982695.1_ASM4098269v1_genomic.fasta,2561,Animal
GCA_040270145.1_ASM4027014v1_genomic.fasta,5416,Human
GCA_034725035.1_ASM3472503v1_genomic.fasta,1651,Human
GCA_021954125.1_PDT001020390.1_genomic.fasta,2775,Human
GCA_022996645.1_PDT001287255.1_genomic.fasta,3237,Environment
GCA_022171025.1_PDT000787914.1_genomic.fasta,5748,Human
GCA_030196635.1_ASM3019663v1_genomic.fasta,3610,Environment
GCA_040988065.1_ASM4098806v1_genomic.fasta,3340,Human
GCA_041044085.1_ASM4104408v1_genomic.fasta,1936,Human
GCA_023741455.1_ASM2374145v1_genomic.fasta,2395,Human
GCA_040692325.1_ASM4069232v1_genomic.fasta,3124,Human
GCA_040982185.1_ASM4098218v1_genomic.fasta,5733,Animal
GCA_003261645.1_ASM326164v1_genomic.fasta,2005,Environment
GCA_034724495.1_ASM3472449v1_genomic.fasta,780,Human
GCA_026161585.1_ASM2616158v1_genomic.fasta,4709,Human
GCA_014526265.2_ASM1452626v2_genomic.fasta,5506,Animal
GCA_033119565.1_PDT001958666.1_genomic.fasta,5413,Human
GCA_034742155.1_ASM3474215v1_genomic.fasta,1048,Environment
GCA_033121565.1_PDT001958565.1_genomic.fasta,4174,Human
GCA_028863615.1_ASM2886361v1_genomic.fasta,306,Environment
GCA_016748495.1_ASM1674849v1_genomic.fasta,4860,Human
GCA_039572725.1_ASM3957272v1_genomic.fasta,4022,Human
GCA_035824875.1_ASM3582487v1_genomic.fasta,114,Animal
GCA_902508215.1_ZKP35_genomic.fasta,3445,Human
GCA_024517325.1_ASM2451732v1_genomic.fasta,2141,Animal
GCA_024356855.1_ASM2435685v1_genomic.fasta,1053,Human
GCA_024516805.1_ASM2451680v1_genomic.fasta,129,Animal
GCA_018861995.1_ASM1886199v1_genomic.fasta,3742,Environment
GCA_021729765.1_ASM2172976v1_genomic.fasta,3443,Animal
GCA_036912855.1_ASM3691285v1_genomic.fasta,2563,Human
GCA_902509375.1_ZKP199_genomic.fasta,1491,Human
GCA_021395635.1_ASM2139563v1_genomic.fasta,3631,Animal
GCA_021954265.1_PDT001020376.1_genomic.fasta,3896,Human
GCA_014526165.1_ASM1452616v1_genomic.fasta,3061,Animal
GCA_024516925.1_ASM2451692v1_genomic.fasta,529,Animal
GCA_022853825.1_ASM2285382v1_genomic.fasta,3502,Human
GCA_034724155.1_ASM3472415v1_genomic.fasta,1201,Human
GCA_030443115.1_ASM3044311v1_genomic.fasta,4528,Human
GCA_021961535.1_PDT001020033.1_genomic.fasta,681,Human
GCA_034731235.1_ASM3473123v1_genomic.fasta,990,Human
GCA_014712645.1_ASM1471264v1_genomic.fasta,5672,Animal
GCA_033121105.1_PDT001958587.1_genomic.fasta,4380,Human
GCA_020742865.1_ASM2074286v1_genomic.fasta,2636,Animal
GCA_024517065.1_ASM2451706v1_genomic.fasta,2995,Animal
GCA_024240515.1_ASM2424051v1_genomic.fasta,1244,Human
GCA_022864705.1_ASM2286470v1_genomic.fasta,513,Human
GCA_041035225.1_ASM4103522v1_genomic.fasta,2710,Human
GCA_901001485.1_COK309_genomic.fasta,1780,Human
GCA_024517045.1_ASM2451704v1_genomic.fasta,103,Animal
GCA_023273025.1_ASM2327302v1_genomic.fasta,2641,Human
GCA_039681755.1_ASM3968175v1_genomic.fasta,3101,Animal
GCA_014283275.1_ASM1428327v1_genomic.fasta,3397,Human
GCA_034741935.1_ASM3474193v1_genomic.fasta,86,Environment
GCA_040981725.1_ASM4098172v1_genomic.fasta,2428,Animal
GCA_021968635.1_PDT001019637.1_genomic.fasta,4585,Human
GCA_034387855.1_ASM3438785v1_genomic.fasta,5100,Human
GCA_021729905.1_ASM2172990v1_genomic.fasta,2592,Animal
GCA_016750595.1_ASM1675059v1_genomic.fasta,5154,Human
GCA_026530395.1_PDT001504982.1_genomic.fasta,1990,Human
GCA_002173955.1_ASM217395v1_genomic.fasta,862,Human
GCA_020477165.1_ASM2047716v1_genomic.fasta,1541,Human
GCA_030852435.1_ASM3085243v1_genomic.fasta,699,Animal
GCA_034731995.1_ASM3473199v1_genomic.fasta,1567,Human
GCA_034743055.1_ASM3474305v1_genomic.fasta,305,Environment
GCA_024357365.1_ASM2435736v1_genomic.fasta,47,Human
GCA_027795615.1_PDT001560096.1_genomic.fasta,1035,Human
GCA_040982715.1_ASM4098271v1_genomic.fasta,2429,Animal
GCA_025909935.1_ASM2590993v1_genomic.fasta,272,Environment
GCA_032460705.1_ASM3246070v1_genomic.fasta,287,Human
GCA_902508475.1_ZKP62_genomic.fasta,1410,Human
GCA_030192895.1_ASM3019289v1_genomic.fasta,5313,Animal
GCA_029916055.1_ASM2991605v1_genomic.fasta,2314,Human
GCA_041031085.1_ASM4103108v1_genomic.fasta,1189,Human
GCA_037076065.1_ASM3707606v1_genomic.fasta,3253,Animal
GCA_040988765.1_ASM4098876v1_genomic.fasta,4964,Human
GCA_014712615.1_ASM1471261v1_genomic.fasta,5502,Animal
GCA_006974165.1_ASM697416v1_genomic.fasta,3521,Animal
GCA_020477225.1_ASM2047722v1_genomic.fasta,5332,Human
GCA_016754335.1_ASM1675433v1_genomic.fasta,3906,Human
GCA_034726915.1_ASM3472691v1_genomic.fasta,791,Human
GCA_027437285.1_ASM2743728v1_genomic.fasta,5114,Environment
GCA_029291655.1_ASM2929165v1_genomic.fasta,4359,Environment
GCA_026626105.1_ASM2662610v1_genomic.fasta,3017,Animal
GCA_040141985.1_ASM4014198v1_genomic.fasta,5843,Animal
GCA_036577465.1_ASM3657746v1_genomic.fasta,3645,Human
GCA_040985205.1_ASM4098520v1_genomic.fasta,484,Human
GCA_022858105.1_ASM2285810v1_genomic.fasta,4574,Human
GCA_041061425.1_ASM4106142v1_genomic.fasta,58,Environment
GCA_026787985.1_ASM2678798v1_genomic.fasta,138,Animal
GCA_034743355.1_ASM3474335v1_genomic.fasta,528,Environment
GCA_024516625.1_ASM2451662v1_genomic.fasta,2973,Animal
GCA_021962715.1_PDT001019973.1_genomic.fasta,5142,Human
GCA_040982065.1_ASM4098206v1_genomic.fasta,5299,Animal
GCA_025206215.1_PDT001396440.2_genomic.fasta,3495,Animal
GCA_026128295.1_ASM2612829v1_genomic.fasta,4088,Human
GCA_034728475.1_ASM3472847v1_genomic.fasta,2320,Human
GCA_033115695.1_PDT001958847.1_genomic.fasta,4411,Human
GCA_032742835.1_ASM3274283v1_genomic.fasta,2673,Environment
GCA_020177875.1_ASM2017787v1_genomic.fasta,2781,Environment
GCA_034397515.1_ASM3439751v1_genomic.fasta,2138,Human
GCA_016753135.1_ASM1675313v1_genomic.fasta,4028,Human
GCA_002890425.1_ASM289042v1_genomic.fasta,1510,Human
GCA_023740955.1_ASM2374095v1_genomic.fasta,959,Human
GCA_029541845.1_ASM2954184v1_genomic.fasta,2062,Food
GCA_024518125.1_ASM2451812v1_genomic.fasta,1074,Animal
GCA_025252425.1_ASM2525242v1_genomic.fasta,4554,Human
GCA_901000905.1_COK48_genomic.fasta,1630,Human
GCA_034743815.1_ASM3474381v1_genomic.fasta,5577,Animal
GCA_001701695.1_ASM170169v1_genomic.fasta,5484,Human
GCA_025175775.1_ASM2517577v1_genomic.fasta,1466,Animal
GCA_041030545.1_ASM4103054v1_genomic.fasta,4747,Human
GCA_034743455.1_ASM3474345v1_genomic.fasta,2281,Environment
GCA_040982075.1_ASM4098207v1_genomic.fasta,5440,Animal
GCA_037075835.1_ASM3707583v1_genomic.fasta,1460,Animal
GCA_024237915.1_ASM2423791v1_genomic.fasta,2256,Human
GCA_027437255.1_ASM2743725v1_genomic.fasta,2167,Environment
GCA_034081125.1_ASM3408112v1_genomic.fasta,5339,Environment
GCA_041038705.1_ASM4103870v1_genomic.fasta,962,Human
GCA_023355885.1_ASM2335588v1_genomic.fasta,4118,Human
GCA_022585725.1_ASM2258572v1_genomic.fasta,2388,Animal
GCA_021395345.1_ASM2139534v1_genomic.fasta,2598,Animal
GCA_034730015.1_ASM3473001v1_genomic.fasta,1521,Human
GCA_030444065.1_ASM3044406v1_genomic.fasta,3351,Human
GCA_034739835.1_ASM3473983v1_genomic.fasta,1677,Human
GCA_023243315.1_ASM2324331v1_genomic.fasta,5572,Animal
GCA_003111805.2_ASM311180v2_genomic.fasta,5264,Human
GCA_022585365.1_ASM2258536v1_genomic.fasta,913,Environment
GCA_022863545.1_ASM2286354v1_genomic.fasta,2986,Human
GCA_034737195.1_ASM3473719v1_genomic.fasta,1257,Human
GCA_028681835.1_ASM2868183v1_genomic.fasta,136,Animal
GCA_030443475.1_ASM3044347v1_genomic.fasta,147,Environment
GCA_033117435.1_PDT001958764.1_genomic.fasta,5070,Human
GCA_030271915.1_ASM3027191v1_genomic.fasta,5631,Animal
GCA_034728915.1_ASM3472891v1_genomic.fasta,649,Human
GCA_015774955.1_ASM1577495v1_genomic.fasta,5287,Environment
GCA_034742255.1_ASM3474225v1_genomic.fasta,2198,Environment
GCA_024734135.1_ASM2473413v1_genomic.fasta,2421,Animal
GCA_040988025.1_ASM4098802v1_genomic.fasta,4199,Human
GCA_023355275.1_ASM2335527v1_genomic.fasta,4901,Human
GCA_009848485.1_ASM984848v1_genomic.fasta,570,Environment
GCA_030443635.1_ASM3044363v1_genomic.fasta,4209,Environment
GCA_041044505.1_ASM4104450v1_genomic.fasta,5512,Human
GCA_029525845.1_ASM2952584v1_genomic.fasta,2528,Human
GCA_008630255.1_ASM863025v1_genomic.fasta,1448,Human
GCA_021020755.1_ASM2102075v1_genomic.fasta,14,Animal
GCA_014041505.2_ASM1404150v2_genomic.fasta,4257,Environment
GCA_000409735.1_Klebsiella_pneumonia_G5-2_Genome_sequencing_genomic.fasta,1012,Environment
GCA_034085965.1_ASM3408596v1_genomic.fasta,1939,Human
GCA_036329905.1_ASM3632990v1_genomic.fasta,3370,Human
GCA_023244045.1_ASM2324404v1_genomic.fasta,5573,Environment
GCA_020990405.1_ASM2099040v1_genomic.fasta,5750,Animal
GCA_040983055.1_ASM4098305v1_genomic.fasta,2790,Animal
GCA_022996005.1_PDT001287251.1_genomic.fasta,3034,Environment
GCA_901001665.1_COK292_genomic.fasta,1742,Human
GCA_001699035.1_ASM169903v1_genomic.fasta,2203,Human
GCA_022853265.1_ASM2285326v1_genomic.fasta,4740,Human
GCA_027908395.1_PDT001551554.1_genomic.fasta,2363,Environment
GCA_034736135.1_ASM3473613v1_genomic.fasta,1163,Human
GCA_021395375.1_ASM2139537v1_genomic.fasta,3562,Animal
GCA_035824835.1_ASM3582483v1_genomic.fasta,3498,Animal
GCA_902507535.1_SRRSH41_genomic.fasta,4983,Human
GCA_034477785.1_ASM3447778v1_genomic.fasta,1754,Human
GCA_902508945.1_ZKP151_genomic.fasta,3343,Human
GCA_002205995.1_ASM220599v1_genomic.fasta,539,Human
GCA_041039685.1_ASM4103968v1_genomic.fasta,1373,Human
GCA_034734875.1_ASM3473487v1_genomic.fasta,1440,Human
GCA_028115505.1_PDT001396441.2_genomic.fasta,2566,Animal
GCA_030291555.1_ASM3029155v1_genomic.fasta,5483,Animal
GCA_001867195.1_ASM186719v1_genomic.fasta,211,Environment
GCA_004127835.1_ASM412783v1_genomic.fasta,3042,Animal
GCA_034744335.1_ASM3474433v1_genomic.fasta,492,Human
GCA_030262555.1_ASM3026255v1_genomic.fasta,2770,Human
GCA_003664795.1_ASM366479v1_genomic.fasta,730,Environment
GCA_019165615.1_ASM1916561v1_genomic.fasta,994,Human
GCA_036329565.1_ASM3632956v1_genomic.fasta,1740,Human
GCA_030195195.1_ASM3019519v1_genomic.fasta,2380,Animal
GCA_041041505.1_ASM4104150v1_genomic.fasta,3672,Human
GCA_040982635.1_ASM4098263v1_genomic.fasta,2546,Animal
GCA_007115515.1_ASM711551v1_genomic.fasta,4025,Human
GCA_021395535.1_ASM2139553v1_genomic.fasta,2321,Animal
GCA_034395495.1_ASM3439549v1_genomic.fasta,4819,Human
GCA_030444135.1_ASM3044413v1_genomic.fasta,4498,Environment
GCA_031317815.1_ASM3131781v1_genomic.fasta,5778,Human
GCA_004321365.1_ASM432136v1_genomic.fasta,896,Animal
GCA_007995355.1_ASM799535v1_genomic.fasta,5419,Human
GCA_040991125.1_ASM4099112v1_genomic.fasta,4841,Human
GCA_037075925.1_ASM3707592v1_genomic.fasta,3254,Animal
GCA_041098935.1_ASM4109893v1_genomic.fasta,43,Animal
GCA_016754005.1_ASM1675400v1_genomic.fasta,4510,Human
GCA_007995715.1_ASM799571v1_genomic.fasta,5269,Human
GCA_016755445.1_ASM1675544v1_genomic.fasta,3913,Human
GCA_002261615.1_ASM226161v1_genomic.fasta,5321,Human
GCA_034719485.1_ASM3471948v1_genomic.fasta,1107,Human
GCA_040982405.1_ASM4098240v1_genomic.fasta,5668,Animal
GCA_902509425.1_ZKP203_genomic.fasta,3490,Human
GCA_024455145.1_PDT001368875.1_genomic.fasta,590,Human
GCA_004127375.1_ASM412737v1_genomic.fasta,3314,Animal
GCA_011077375.1_ASM1107737v1_genomic.fasta,5295,Animal
GCA_024240595.1_ASM2424059v1_genomic.fasta,5505,Human
GCA_037198215.1_ASM3719821v1_genomic.fasta,332,Animal
GCA_040703115.1_ASM4070311v1_genomic.fasta,737,Animal
GCA_024517445.1_ASM2451744v1_genomic.fasta,3214,Animal
GCA_028681955.1_ASM2868195v1_genomic.fasta,3199,Animal
GCA_022862145.1_ASM2286214v1_genomic.fasta,4786,Human
GCA_020294845.1_ASM2029484v1_genomic.fasta,3548,Human
GCA_040691985.1_ASM4069198v1_genomic.fasta,949,Human
GCA_024517145.1_ASM2451714v1_genomic.fasta,2970,Animal
GCA_014282605.1_ASM1428260v1_genomic.fasta,2068,Human
GCA_018583325.1_ASM1858332v1_genomic.fasta,144,Animal
GCA_029026865.1_ASM2902686v1_genomic.fasta,2688,Environment
GCA_012167075.1_ASM1216707v1_genomic.fasta,464,Food
GCA_029087715.1_ASM2908771v1_genomic.fasta,2387,Environment
GCA_031357365.1_ASM3135736v1_genomic.fasta,2432,Animal
GCA_034361465.1_ASM3436146v1_genomic.fasta,5465,Human
GCA_034743315.1_ASM3474331v1_genomic.fasta,354,Environment
GCA_036329645.1_ASM3632964v1_genomic.fasta,2891,Human
GCA_041038725.1_ASM4103872v1_genomic.fasta,4571,Human
GCA_040550165.1_ASM4055016v1_genomic.fasta,460,Environment
GCA_033115795.1_PDT001958843.1_genomic.fasta,5022,Human
GCA_016748725.1_ASM1674872v1_genomic.fasta,3958,Human
GCA_034389555.1_ASM3438955v1_genomic.fasta,3948,Human
GCA_024237535.1_ASM2423753v1_genomic.fasta,3162,Human
GCA_004322795.1_ASM432279v1_genomic.fasta,4459,Human
GCA_030443695.1_ASM3044369v1_genomic.fasta,4210,Environment
GCA_003664855.1_ASM366485v1_genomic.fasta,3038,Environment
GCA_040982755.1_ASM4098275v1_genomic.fasta,3300,Animal
GCA_034391115.1_ASM3439111v1_genomic.fasta,1808,Human
GCA_026163625.1_ASM2616362v1_genomic.fasta,3403,Animal
GCA_021899875.1_PDT001167492.1_genomic.fasta,3909,Human
GCA_037076025.1_ASM3707602v1_genomic.fasta,3334,Animal
GCA_036417615.1_ASM3641761v1_genomic.fasta,1478,Environment
GCA_024517965.1_ASM2451796v1_genomic.fasta,3526,Animal
GCA_033113765.1_PDT001958935.1_genomic.fasta,4390,Human
GCA_024356125.1_ASM2435612v1_genomic.fasta,2162,Human
GCA_030852325.1_ASM3085232v1_genomic.fasta,2082,Animal
GCA_033434035.1_ASM3343403v1_genomic.fasta,2980,Human
GCA_034652715.1_ASM3465271v1_genomic.fasta,3980,Human
GCA_019443545.1_ASM1944354v1_genomic.fasta,2127,Human
GCA_040140745.1_ASM4014074v1_genomic.fasta,3702,Animal
GCA_035871535.1_ASM3587153v1_genomic.fasta,10,Animal
GCA_034742855.1_ASM3474285v1_genomic.fasta,757,Environment
GCA_037026455.1_ASM3702645v1_genomic.fasta,527,Animal
GCA_020481705.1_ASM2048170v1_genomic.fasta,2071,Human
GCA_028681825.1_ASM2868182v1_genomic.fasta,1155,Animal
GCA_034738815.1_ASM3473881v1_genomic.fasta,2697,Human
GCA_024517005.1_ASM2451700v1_genomic.fasta,5648,Animal
GCA_034395295.1_ASM3439529v1_genomic.fasta,4997,Human
GCA_025673225.1_ASM2567322v1_genomic.fasta,2745,Human
GCA_030442755.1_ASM3044275v1_genomic.fasta,432,Environment
GCA_001661895.1_ASM166189v1_genomic.fasta,523,Human
GCA_034742695.1_ASM3474269v1_genomic.fasta,2333,Environment
GCA_041042985.1_ASM4104298v1_genomic.fasta,3817,Human
GCA_022760615.1_ASM2276061v1_genomic.fasta,2667,Human
GCA_016694775.1_ASM1669477v1_genomic.fasta,679,Animal
GCA_027437175.1_ASM2743717v1_genomic.fasta,4862,Environment
GCA_029291015.1_ASM2929101v1_genomic.fasta,3814,Environment
GCA_002751415.1_ASM275141v1_genomic.fasta,4851,Environment
GCA_026229755.1_ASM2622975v1_genomic.fasta,1171,Human
GCA_902508395.1_ZKP59_genomic.fasta,1208,Human
GCA_034085865.1_ASM3408586v1_genomic.fasta,4291,Environment
GCA_035429545.1_ASM3542954v1_genomic.fasta,2318,Environment
GCA_008632765.1_ASM863276v1_genomic.fasta,1452,Human
GCA_014288195.1_ASM1428819v1_genomic.fasta,5293,Human
GCA_039573705.1_ASM3957370v1_genomic.fasta,5120,Human
GCA_024516765.1_ASM2451676v1_genomic.fasta,5327,Animal
GCA_026626065.1_ASM2662606v1_genomic.fasta,2578,Animal
GCA_024517845.1_ASM2451784v1_genomic.fasta,3452,Animal
GCA_022401985.1_ASM2240198v1_genomic.fasta,607,Human
GCA_026624345.1_ASM2662434v1_genomic.fasta,963,Human
GCA_024516585.1_ASM2451658v1_genomic.fasta,363,Animal
GCA_032738865.1_ASM3273886v1_genomic.fasta,499,Environment
GCA_022402305.1_ASM2240230v1_genomic.fasta,884,Human
GCA_028863925.1_ASM2886392v1_genomic.fasta,281,Animal
GCA_003664865.1_ASM366486v1_genomic.fasta,683,Environment
GCA_024518105.1_ASM2451810v1_genomic.fasta,2123,Animal
GCA_036908575.1_ASM3690857v1_genomic.fasta,2098,Human
GCA_030443405.1_ASM3044340v1_genomic.fasta,3350,Environment
GCA_033798725.1_ASM3379872v1_genomic.fasta,1277,Animal
GCA_027679405.1_ASM2767940v1_genomic.fasta,2208,Human
GCA_901001415.1_COK241_genomic.fasta,1684,Human
GCA_033868475.1_ASM3386847v1_genomic.fasta,318,Human
GCA_009724465.1_ASM972446v1_genomic.fasta,4447,Human
GCA_022298915.1_PDT000417181.1_genomic.fasta,2492,Animal
GCA_040137255.1_ASM4013725v1_genomic.fasta,5765,Animal
GCA_037132675.1_ASM3713267v1_genomic.fasta,3015,Human
GCA_034395535.1_ASM3439553v1_genomic.fasta,4490,Human
GCA_030194295.1_ASM3019429v1_genomic.fasta,5746,Animal
GCA_037075745.1_ASM3707574v1_genomic.fasta,2289,Animal
GCA_030852335.1_ASM3085233v1_genomic.fasta,168,Animal
GCA_029916345.1_ASM2991634v1_genomic.fasta,1242,Human
GCA_033120645.1_PDT001958611.1_genomic.fasta,4495,Human
GCA_021395915.1_ASM2139591v1_genomic.fasta,5647,Animal
GCA_021729925.1_ASM2172992v1_genomic.fasta,3144,Animal
GCA_029867025.1_ASM2986702v1_genomic.fasta,3226,Food
GCA_021395275.1_ASM2139527v1_genomic.fasta,2796,Animal
GCA_020169175.1_ASM2016917v1_genomic.fasta,3643,Animal
GCA_021496545.1_ASM2149654v1_genomic.fasta,5674,Animal
GCA_002845965.1_ASM284596v1_genomic.fasta,1548,Human
GCA_033120465.1_PDT001958621.1_genomic.fasta,4251,Human
GCA_009721735.1_ASM972173v1_genomic.fasta,4527,Human
GCA_034727855.1_ASM3472785v1_genomic.fasta,5559,Human
GCA_039573605.1_ASM3957360v1_genomic.fasta,2016,Human
GCA_030286965.1_ASM3028696v1_genomic.fasta,3355,Animal
GCA_031318835.1_ASM3131883v1_genomic.fasta,191,Human
GCA_034726515.1_ASM3472651v1_genomic.fasta,612,Human
GCA_017310405.1_ASM1731040v1_genomic.fasta,3280,Human
GCA_023741115.1_ASM2374111v1_genomic.fasta,299,Human
GCA_004357805.1_ASM435780v1_genomic.fasta,1987,Human
GCA_034729235.1_ASM3472923v1_genomic.fasta,530,Human
GCA_037006065.1_ASM3700606v1_genomic.fasta,3419,Human
GCA_021729785.1_ASM2172978v1_genomic.fasta,5878,Animal
GCA_021395475.1_ASM2139547v1_genomic.fasta,2850,Animal
GCA_034084515.1_ASM3408451v1_genomic.fasta,1359,Human
GCA_014285125.1_ASM1428512v1_genomic.fasta,951,Human
GCA_024518025.1_ASM2451802v1_genomic.fasta,3203,Animal
GCA_004127615.1_ASM412761v1_genomic.fasta,5612,Animal
GCA_024517575.1_ASM2451757v1_genomic.fasta,2479,Animal
GCA_034726985.1_ASM3472698v1_genomic.fasta,1421,Human
GCA_034355415.1_PDT002026179.1_genomic.fasta,2985,Human
GCA_022997945.1_PDT001287240.1_genomic.fasta,3675,Environment
GCA_024516505.1_ASM2451650v1_genomic.fasta,5635,Animal
GCA_024237255.1_ASM2423725v1_genomic.fasta,131,Human
GCA_034743655.1_ASM3474365v1_genomic.fasta,5696,Environment
GCA_034740655.1_ASM3474065v1_genomic.fasta,3306,Human
GCA_902508625.1_ZKP108_genomic.fasta,1576,Human
GCA_040988165.1_ASM4098816v1_genomic.fasta,2245,Human
GCA_003664765.1_ASM366476v1_genomic.fasta,582,Animal
GCA_024516445.1_ASM2451644v1_genomic.fasta,1499,Animal
GCA_001006265.1_ASM100626v1_genomic.fasta,5769,Food
GCA_034364845.1_ASM3436484v1_genomic.fasta,311,Human
GCA_901001025.1_COK107_genomic.fasta,1680,Human
GCA_024516825.1_ASM2451682v1_genomic.fasta,5772,Animal
GCA_041097035.1_ASM4109703v1_genomic.fasta,687,Animal
GCA_026614935.1_ASM2661493v1_genomic.fasta,107,Human
GCA_024517985.1_ASM2451798v1_genomic.fasta,3044,Animal
GCA_040721815.1_ASM4072181v1_genomic.fasta,3232,Environment
GCA_003286975.1_ASM328697v1_genomic.fasta,983,Human
GCA_004127575.1_ASM412757v1_genomic.fasta,5477,Animal
GCA_026614535.1_ASM2661453v1_genomic.fasta,5500,Animal
GCA_030137565.1_ASM3013756v1_genomic.fasta,2738,Human
GCA_026626085.1_ASM2662608v1_genomic.fasta,2772,Animal
GCA_015278095.1_ASM1527809v1_genomic.fasta,5783,Animal
GCA_003664715.1_ASM366471v1_genomic.fasta,5376,Environment
GCA_035818735.1_ASM3581873v1_genomic.fasta,2384,Animal
GCA_028621835.1_ASM2862183v1_genomic.fasta,28,Environment
GCA_024582475.1_ASM2458247v1_genomic.fasta,2993,Human
GCA_034742955.1_ASM3474295v1_genomic.fasta,664,Environment
GCA_002991945.1_ASM299194v1_genomic.fasta,5588,Environment
GCA_041034165.1_ASM4103416v1_genomic.fasta,1856,Human
GCA_030190315.1_ASM3019031v1_genomic.fasta,2453,Animal
GCA_024516375.1_ASM2451637v1_genomic.fasta,899,Animal
GCA_034743495.1_ASM3474349v1_genomic.fasta,3041,Environment
GCA_034737335.1_ASM3473733v1_genomic.fasta,411,Human
GCA_034742475.1_ASM3474247v1_genomic.fasta,2777,Environment
GCA_037126195.1_ASM3712619v1_genomic.fasta,3027,Animal
GCA_017815795.1_ASM1781579v1_genomic.fasta,3463,Animal
GCA_019165455.1_ASM1916545v1_genomic.fasta,2513,Human
